Participant ID,Time,Trial Number,Bounce Number,Apex Height,Apex-Target Distance,Apex In Target Area?,Paddle height at hit,Paddle velocity at hit
2,12.44882,0,0,0,1.125245,NO,0,0
2,13.121,1,1,1.494664,0.3694185,NO,1.156443,0.7666705
2,13.66,1,2,1.582504,0.4572588,NO,1.173847,0.8462683
2,14.315,1,3,1.754782,0.6295366,NO,1.173952,1.039513
2,15.027,1,4,1.834632,0.7093868,NO,1.185014,1.100661
2,15.645,1,5,1.834632,0.7093868,NO,1.142727,0.8408157
2,16.137,1,6,1.834632,0.7093868,NO,1.149886,0.7321521
2,16.62,1,7,1.834632,0.7093868,NO,1.085102,0.7549259
2,17.232,1,8,1.834632,0.7093868,NO,1.07701,0.9742125
2,17.731,1,9,1.834632,0.7093868,NO,1.09898,0.7679367
2,18.28,1,10,1.834632,0.7093868,NO,1.069121,0.926563
2,18.694,1,11,1.834632,0.7093868,NO,1.117798,0.6439681
2,19.072,1,12,1.834632,0.7093868,NO,1.097256,0.5842896
2,19.436,1,13,1.834632,0.7093868,NO,1.086067,0.5527475
2,19.849,1,14,1.834632,0.7093868,NO,1.089366,0.4096955
2,20.48,1,15,1.834632,0.7093868,NO,1.11628,0.8851014
2,20.859,1,16,1.834632,0.7093868,NO,0.8992983,0.4789352
2,21.34,1,17,1.834632,0.7093868,NO,0.9466865,0.8339716
